Number;Id;Unique Id;Company Name;Company owner;Company purpose;First adressline;second adressline;Country;Foreign Zip Code;House number;Street;Dwelling number;Locality;Swiss zipcode add on;Swiss zipcode;
36;152264536;CH32090451830;Grob Architektur AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gams;CH;null;9;Oberfelsbachstrasse;null;null;null;9473;
37;152267724;CH10047987225;Physio Neustadt GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;1;Moosstrasse;null;null;null;6003;
38;152267770;CH27010181713;Bayard Coaching;No Owner Found;No Owner Found;null;null;Basel;CH;null;35;Erlkönigweg;null;null;null;4058;
39;152270382;CH10017927973;E Element Lighting Kulmer;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Meggen;CH;null;1;Gotthardstrasse;null;null;null;6045;
40;152271358;CH32040821536;Caremo Event GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Oberuzwil;CH;null;20;Wiesentalstrasse;null;null;null;9242;
41;152272027;CH02010668521;Mate Consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Schlieren;CH;null;46a;Urdorferstrasse;null;null;null;8952;
42;152272576;CH32030780292;Goldschmiede-Atelier Krüsi AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gossau;CH;null;25;Herisauerstrasse;null;null;null;9200;
43;152274434;CH28040207010;Immo71 GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Kälin & Partner Treuhand GmbH;Reinach BL;CH;null;1;Binningerstrasse;null;null;null;4153;
44;152276746;CH55011684706;RIDERDISTRIB SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Montreux;CH;null;62;Avenue des Alpes;null;null;null;1820;
45;152277527;CH29070190965;Walter Lippuner Stiftung;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Walter Lippuner;Schaffhausen;CH;null;68;Klausweg;null;null;null;8201;
46;152278283;CH17040133842;r2a GmbH in Liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Andrea Villiger;Zug;CH;null;41;Lüssiweg;null;null;null;6300;
47;152282350;CH44020296773;Moser & Co.;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Frauenfeld;CH;null;57;Häberlinstrasse;null;null;null;8500;
48;152282652;CH24140158199;F&T Spezialabdichtung GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Faton Perzhaku;Balsthal;CH;null;20;Guntenfluhweg;null;null;null;4710;
49;152284266;CH28010165193;Bahnhofkiosk & Bistro Grellingen Bagyi;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Grellingen;CH;null;6;Bahnhofstrasse;null;null;null;4203;
50;152285567;CH10047997669;UKI Consulting GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;13;Hirschmattstrasse;null;null;null;6003;
51;152288703;CH24130119433;Schneitter AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Langendorf;CH;null;6;Industriestrasse;null;null;null;4513;
52;152289128;CH62690143750;Paysagestion SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sion;CH;null;65;Rue de Lausanne;null;null;null;1950;
53;152295442;CH10047947130;Babylon Bau Montagen GmbH in Liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Entlebuch;CH;null;2;Farb;null;null;null;6162;
54;152296051;CH55011628229;Bestmocol Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gimel;CH;null;1;Place de l'Union;null;null;null;1188;
55;152298794;CH55011586458;Berisha Peintures;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Payerne;CH;null;4;Rue de la Boverie;null;null;null;1530;
56;152300870;CH02010637607;Restaurante Mahnaz Bidari;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Dietikon;CH;null;16;Bremgartnerstrasse;null;null;null;8953;
57;152302645;CH02040517613;MeiXin Restaurant GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;2;Rössligasse;null;null;null;6004;
58;152303018;CH28010148019;Coiffeur ReNew Barbara Gysin;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Liestal;CH;null;2;Spinnlerstrasse;null;null;null;4410;
59;152303892;CH14030038953;BGG Wiflisburg AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sarnen;CH;null;17;Kernserstrasse;null;null;null;6060;
60;152305738;CH55011771755;SF Toitures SNC;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Oron-la-Ville;CH;null;4;chemin de l'Arzelier;null;null;null;1610;
61;152306873;CH02010623879;Rupp Consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zollikon;CH;null;23 b;Rebwiesstrasse;null;null;null;8702;
62;152306896;CH67040056069;Dec Bernard Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Courcelon;CH;null;33;Grand-Rue;null;null;null;2823;
63;152309481;CH02010606847;Jörger ITSM;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Windlach;CH;null;20 a;Dorfstrasse;null;null;null;8175;
64;152310389;CH15030046561;SMOOZED AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Emmenbrücke;CH;null;74;Gerliswilstrasse;null;null;null;6020;
65;152312247;CH67040075312;DJOB'SLIMANE Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Courtemaîche;CH;null;11;Vers l'Eglise;null;null;null;2923;
66;152312359;CH28040224994;SRS-Technik GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Liestal;CH;null;26;Frenkenstrasse;null;null;null;4410;
67;152313666;CH02040483911;Rüegg Training GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Meilen;CH;null;40;Mühlerain;null;null;null;8706;
68;152315576;CH55011534458;Junah Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lausanne;CH;null;5;Chemin de la Plaisante;null;null;null;1012;
69;152315630;CH62630151221;PAJIMO SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Crans-Montana;CH;null;4;Route de la Moubra;null;null;null;3963;
70;152320583;CH35010103163;Anhorn Holzbau;Kanton service not implemented yet;Kanton service not implemented yet;null;null;St. Antönien;CH;null;57;Gädmen;null;null;null;7246;
71;152322441;CH55011762154;Ferring Properties SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;St-Prex;CH;null;50;chemin de la Vergognausaz;null;null;null;1162;
72;152324919;CH40040357518;Wexxelzone GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Schwerzenbach;CH;null;15;Gfennstrasse;null;null;null;8603;
73;152324983;CH03690586865;Zebrabox Ministorage AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bern;CH;null;82;Eigerstrasse;null;null;null;3007;
74;152325161;CH32040770495;SMART MAIL GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;St. Gallen;CH;null;10a;Paradiesstrasse;null;null;null;9000;
75;152328395;CH17030372483;Glenpower AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zug;CH;null;137;Baarerstrasse;null;null;null;6302;
76;152328880;CH55011065310;SM Ferraillages Sàrl en liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Crissier;CH;null;72;Quartier Pré-Fontaine;null;null;null;1023;
77;152332675;CH02010628011;E.S.E. Reinigung Murtezi;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Rüti ZH;CH;null;4;Bergacherstrasse;null;null;null;8630;
78;152334148;CH40030380058;ALPHA Baumanagement AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Berikon 1;CH;null;2;Staldenweg;null;null;null;8965;
79;152336704;CH66033240163;Okayo GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Merki Treuhand AG;Baden;CH;null;8;Theaterplatz;null;null;null;5400;
80;152337885;CH66019290097;Newsped Transports & Logistic SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Plan-les-Ouates;CH;null;15 A;Chemin Eugène-Charlet;null;null;null;1228;
81;152340172;CH55011032151;Deca Swiss Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Nyon;CH;null;50 A;Route de Divonne;null;null;null;1260;
82;152342722;CH66053680151;GDI Générale de Développement Immobilier SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Vessy;CH;null;31;route de Troinex;null;null;null;1234;
83;152344560;CH02040611473;Blumenwiese Uster GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Uster;CH;null;62;Aathalstrasse;null;null;null;8610;
84;152344655;CH55011619441;Jordan Bogdan rénovation;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Resto de la piscine;Moudon;CH;null;null;Avenue du Grand-Pré;null;null;null;1510;
85;152346105;CH13040171750;Swissbed GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Goldau;CH;null;7;Bernerhöhe Nord;null;null;null;6410;
86;152347903;CH24110137773;connected Giuseppe Biasco;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Solothurn;CH;null;11;Holbeinweg;null;null;null;4500;
87;152348015;CH55011468481;Nixon Bravo Vera;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lausanne;CH;null;25;Chemin de Champrilly;null;null;null;1004;
88;152350236;CH62110098895;Delinda Osaj;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Monthey;CH;null;6;Place de Tübingen;null;null;null;1870;
89;152351790;CH66057800156;Pointu;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;58;Cité Villars;null;null;null;1203;
90;152353010;CH32040706921;Seiler Umzüge und Transporte GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gossau;CH;null;9;Bedastrasse;null;null;null;9200;
91;152356687;CH30010181399;VERA Bau AC;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Herisau;CH;null;7;Zeughausstrasse;null;null;null;9100;
92;152357060;CH32010774143;Haag Consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Wil;CH;null;5;Kelterstrasse;null;null;null;9500;
93;152357870;CH10090084057;Securitas AG Schweizerische Bewachungsgesellschaft;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;25;Hirschmattstrasse;null;null;null;6003;
94;152358806;CH62610152095;Julien d'Eysmond consulting (JDE consulting);Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sion;CH;null;57;Rue de Gravelone;null;null;null;1950;
95;152360470;CH03610567090;B&F styling Urs Brand;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bern;CH;null;42;Gerberngasse;null;null;null;3011;
96;152361978;CH66022830132;RELOOK DOG Studio - Muskens Anne-Sophie;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Thônex;CH;null;146;rue de Genève;null;null;null;1226;
97;152363078;CH55011691908;ZN Construction Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;St-Prex;CH;null;14;Route de Morges;null;null;null;1162;
98;152363109;CH32040739934;Agentur für Emotion GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Flawil;CH;null;1267;Raaschberg;null;null;null;9230;
99;152363368;CH02040483118;Segreto GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Volketswil;CH;null;1;Säntisweg;null;null;null;8604;
100;152366556;CH27030151401;Alfred Rüdisühli Holding AG;No Owner Found;No Owner Found;null;null;Basel;CH;null;1;Rheinsprung;null;null;null;4051;
101;152367337;CH66019040145;IDEMUDIA EDWIN TAXI;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genthod;CH;null;54;chemin de la Caracole;null;null;null;1294;
102;152368704;CH17010079248;A-Z PersonalCare Monique Siegrist;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Steinhausen;CH;null;38;Goldermattenstrasse;null;null;null;6312;
103;152369678;CH32040819480;Immoabteilung GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Berneck;CH;null;14;Taastrasse;null;null;null;9442;
104;152218714;CH13020191402;mega-plast Kunststofftechnik Heinrich Rico Bertoli;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Feusisberg;CH;null;14;Rohnenstrasse;null;null;null;8835;
105;152218766;CH50140165039;Rinnova Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gordola;CH;null;19;Via Sasso Misocco;null;null;null;6596;
106;152220102;CH02090018737;AquaPura AG;No Owner Found;;null;null;Zürich;CH;null;64;Waffenplatzstrasse;null;null;null;8002;
107;152220645;CH28030172514;JGLA Immobilien AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Aesch BL;CH;null;2;Höhenweg;null;null;null;4147;
108;152224614;CH17040103632;Aplanis Consulting GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Vitop Consulting AG;Zug;CH;null;6;Poststrasse;null;null;null;6301;
109;152226613;CH27010179040;Eschmann Consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Riehen;CH;null;112B;Burgstr.;null;null;null;4125;
110;152228345;CH13010241094;WRIGHT CONSULTING;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gersau;CH;null;3a;Stockbachweg;null;null;null;6442;
111;152228598;CH66013100170;CHARLES-PELLAT YVES;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Meyrin;CH;null;67;rue des Lattes;null;null;null;1217;
112;152231608;CH24110148027;Roth Reinigungsdienste;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luterbach;CH;null;5;Bürgerstrasse;null;null;null;4542;
113;152233004;CH55011675431;Silverinnov Sàrl en liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Yves Torjman;Belmont-Lausanne;CH;null;6;Chemin de Champ Pevy;null;null;null;1092;
114;152233524;CH17030376150;Chronext AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zug;CH;null;9;Feldpark;null;null;null;6300;
115;152241274;CH02040634169;Green Place Import GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Pfäffikon ZH;CH;null;1;Bürglenstrasse;null;null;null;8330;
116;152241819;CH32030771174;ZOLMAR AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Goldach;CH;null;14;Kleestrasse;null;null;null;9403;
117;152241854;CH32010797258;monica nodiroli's baschtelhuette.ch;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sevelen;CH;null;30;Badstrasse;null;null;null;9475;
118;152242517;CH17040159462;Sionix GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zug;CH;null;172;Chamerstrasse;null;null;null;6300;
119;152242865;CH02040646446;Prime Elektro GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Fahrweid;CH;null;9;Fahrweidstrasse;null;null;null;8951;
120;152243000;CH24110134437;Allroundservice Erwin Marbacher;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Hägendorf;CH;null;16;Haselweg;null;null;null;4614;
121;152244568;CH50160150525;Swiss e PRIX Lugano;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Dicastero Sport Città di Lugano;Lugano;CH;null;100;Via Trevano;null;null;null;6900;
122;152245415;CH30030181684;Good Air AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Herisau;CH;null;43;Walke;null;null;null;9100;
123;152245734;CH64541167268;Gobalet Decoster Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Neuchâtel;CH;null;7;avenue Jean-Jacques-Rousseau;null;null;null;2000;
124;152246751;CH55011654569;BONZEL SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lausanne;CH;null;10;Place de la Gare;null;null;null;1003;
125;152248885;CH66013390174;Calak Ali;Kanton service not implemented yet;Kanton service not implemented yet;null;null;La Plaine;CH;null;75;route de La-Plaine;null;null;null;1283;
126;152250942;CH02010721175;schloddel Grit Hofmann;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Grüningen;CH;null;1;Zelgmatt;null;null;null;8627;
127;152251315;CH66022920145;Jean Barber shop Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;2;boulevard du Pont-d'Arve;null;null;null;1205;
128;152254302;CH32030799934;ISP Immobilien Service Partner AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bad Ragaz;CH;null;9;Saschielstrasse;null;null;null;7310;
129;152255187;CH03610605649;studer 26 Software Engineering;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Oberönz;CH;null;10;Sandackerweg;null;null;null;3363;
130;152256494;CH03640500002;FFP Image GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lyss;CH;null;19;Tulpenweg;null;null;null;3250;
131;152257855;CH13040229101;Hasler Architektur GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Einsiedeln;CH;null;1;Amaliengasse;null;null;null;8840;
132;152257884;CH40044444123;Kosmetik + Podologie Dort GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Fislisbach;CH;null;17;Badenerstrasse;null;null;null;5442;
133;152258872;CH17030353118;Tidesea AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Fribourg;CH;null;29/31;Rue de Romont;null;null;null;1700;
134;152260188;CH28040207653;e-Agency GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Oberwil BL;CH;null;151;Hohestrasse;null;null;null;4104;
135;152260863;CH27040054898;G.S.F. Armierungen GmbH;No Owner Found;No Owner Found;null;null;Basel;CH;null;122;Fasanenstr.;null;null;null;4058;
136;152261093;CH50140164028;Snack Gelsomino Sagl in liquidazione;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Liberato Varra;San Vittore;CH;null;null;null;null;null;null;6534;
137;152261147;CH03630639933;CH Baumanagement AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bern;CH;null;16;Seftigenstrasse;null;null;null;3007;
138;152261520;CH66027370124;The Tamari Foundation;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;1;Place de Saint-Gervais;null;null;null;1201;
139;152264536;CH32090451830;Grob Architektur AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gams;CH;null;9;Oberfelsbachstrasse;null;null;null;9473;
140;152267724;CH10047987225;Physio Neustadt GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;1;Moosstrasse;null;null;null;6003;
141;152267770;CH27010181713;Bayard Coaching;No Owner Found;No Owner Found;null;null;Basel;CH;null;35;Erlkönigweg;null;null;null;4058;
142;152270382;CH10017927973;E Element Lighting Kulmer;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Meggen;CH;null;1;Gotthardstrasse;null;null;null;6045;
143;152271358;CH32040821536;Caremo Event GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Oberuzwil;CH;null;20;Wiesentalstrasse;null;null;null;9242;
144;152272027;CH02010668521;Mate Consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Schlieren;CH;null;46a;Urdorferstrasse;null;null;null;8952;
145;152272576;CH32030780292;Goldschmiede-Atelier Krüsi AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gossau;CH;null;25;Herisauerstrasse;null;null;null;9200;
146;152274434;CH28040207010;Immo71 GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Kälin & Partner Treuhand GmbH;Reinach BL;CH;null;1;Binningerstrasse;null;null;null;4153;
147;152276746;CH55011684706;RIDERDISTRIB SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Montreux;CH;null;62;Avenue des Alpes;null;null;null;1820;
148;152277527;CH29070190965;Walter Lippuner Stiftung;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Walter Lippuner;Schaffhausen;CH;null;68;Klausweg;null;null;null;8201;
149;152278283;CH17040133842;r2a GmbH in Liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Andrea Villiger;Zug;CH;null;41;Lüssiweg;null;null;null;6300;
150;152282350;CH44020296773;Moser & Co.;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Frauenfeld;CH;null;57;Häberlinstrasse;null;null;null;8500;
151;152282652;CH24140158199;F&T Spezialabdichtung GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Faton Perzhaku;Balsthal;CH;null;20;Guntenfluhweg;null;null;null;4710;
152;152284266;CH28010165193;Bahnhofkiosk & Bistro Grellingen Bagyi;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Grellingen;CH;null;6;Bahnhofstrasse;null;null;null;4203;
153;152285567;CH10047997669;UKI Consulting GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;13;Hirschmattstrasse;null;null;null;6003;
154;152288703;CH24130119433;Schneitter AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Langendorf;CH;null;6;Industriestrasse;null;null;null;4513;
155;152289128;CH62690143750;Paysagestion SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sion;CH;null;65;Rue de Lausanne;null;null;null;1950;
156;152295442;CH10047947130;Babylon Bau Montagen GmbH in Liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Entlebuch;CH;null;2;Farb;null;null;null;6162;
157;152296051;CH55011628229;Bestmocol Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gimel;CH;null;1;Place de l'Union;null;null;null;1188;
